### Heat rates and emissions were gathered from EIA: https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2020.pdf,,,
"### Technically waste and biomass emit, but we may want to set those values to 0 (or some lower number) because over a lifecycle biomass is burned then regrown (net zero)",,,
"### All values are from the EIA for the US, but nation specific values will be added soon",,,
country,primary_fuel,heat_rate_btu_per_kwh,co2_lb_per_mmbtu
IRL,Gas,7732,117
IRL,Oil,11135,117
IRL,Solar,3412,0
IRL,Wind,3412,0
IRL,Waste,8513,117
IRL,Hydro,3412,0
IRL,Geothermal,3412,0
IRL,Biomass,13300,206
IRL,Nuclear,10608,0
IRN,Coal,10551,206
IRN,Gas,7732,117
IRN,Oil,11135,117
IRN,Solar,3412,0
IRN,Wind,3412,0
IRN,Waste,8513,117
IRN,Hydro,3412,0
IRN,Geothermal,3412,0
IRN,Biomass,13300,206
IRN,Nuclear,10608,0
IRQ,Coal,10551,206
IRQ,Gas,7732,117
IRQ,Oil,11135,117
IRQ,Solar,3412,0
IRQ,Wind,3412,0
IRQ,Waste,8513,117
IRQ,Hydro,3412,0
IRQ,Geothermal,3412,0
IRQ,Biomass,13300,206
IRQ,Nuclear,10608,0
ISL,Coal,10551,206
ISL,Gas,7732,117
ISL,Oil,11135,117
ISL,Solar,3412,0
ISL,Wind,3412,0
ISL,Waste,8513,117
ISL,Hydro,3412,0
ISL,Geothermal,3412,0
ISL,Biomass,13300,206
ISL,Nuclear,10608,0
ISR,Coal,10551,206
ISR,Gas,7732,117
ISR,Oil,11135,117
ISR,Solar,3412,0
ISR,Wind,3412,0
ISR,Waste,8513,117
ISR,Hydro,3412,0
ISR,Geothermal,3412,0
ISR,Biomass,13300,206
ISR,Nuclear,10608,0
ITA,Coal,10551,206
ITA,Gas,7732,117
ITA,Oil,11135,117
ITA,Solar,3412,0
ITA,Wind,3412,0
ITA,Waste,8513,117
ITA,Hydro,3412,0
ITA,Geothermal,3412,0
ITA,Biomass,13300,206
ITA,Nuclear,10608,0
JAM,Coal,10551,206
JAM,Gas,7732,117
JAM,Oil,11135,117
JAM,Solar,3412,0
JAM,Wind,3412,0
JAM,Waste,8513,117
JAM,Hydro,3412,0
JAM,Geothermal,3412,0
JAM,Biomass,13300,206
JAM,Nuclear,10608,0
JOR,Coal,10551,206
JOR,Gas,7732,117
JOR,Oil,11135,117
JOR,Solar,3412,0
